item_id,knowledge_code
1,"[1, 60]"
2,"[1, 60]"
3,"[2, 60]"
4,"[2, 12]"
5,"[3, 87]"
6,"[4, 87]"
7,"[4, 87]"
8,"[3, 96]"
9,"[3, 96]"
10,[5]
11,[6]
12,[6]
13,[7]
14,[7]
15,"[6, 99]"
16,"[6, 99]"
17,"[7, 99]"
18,"[6, 93]"
19,"[6, 36]"
20,"[8, 5]"
21,"[8, 5]"
22,"[8, 5]"
23,"[8, 5]"
24,"[8, 5]"
25,"[8, 5]"
26,"[8, 5]"
27,"[8, 5]"
28,[8]
29,"[9, 12]"
30,"[9, 12]"
31,"[10, 70]"
32,[11]
33,"[6, 22]"
34,"[12, 22]"
35,"[7, 22]"
36,"[6, 22]"
37,[6]
38,[13]
39,[6]
40,"[14, 58]"
41,"[14, 58]"
42,"[14, 58]"
43,"[14, 26]"
44,"[14, 55]"
45,"[14, 55]"
46,"[11, 58]"
47,"[8, 58]"
48,[15]
49,"[12, 1]"
50,"[12, 31]"
51,"[12, 1]"
52,"[16, 15]"
53,"[17, 15]"
54,"[17, 15]"
55,"[18, 15]"
56,[19]
57,[20]
58,"[21, 38]"
59,"[16, 15]"
60,"[22, 38]"
61,[23]
62,[24]
63,[23]
64,"[20, 15]"
65,"[20, 15]"
66,[25]
67,"[16, 15]"
68,"[13, 70]"
69,"[13, 70]"
70,"[13, 70]"
71,"[13, 70]"
72,"[26, 25]"
73,"[27, 47]"
74,"[27, 3]"
75,"[26, 3]"
76,[28]
77,[29]
78,[28]
79,[30]
80,[28]
81,"[31, 85]"
82,"[31, 85]"
83,"[32, 76]"
84,[33]
85,[33]
86,"[33, 22]"
87,"[34, 70]"
88,"[3, 25]"
89,"[35, 98]"
90,[36]
91,[36]
92,[36]
93,[37]
94,"[8, 25]"
95,"[8, 35]"
96,"[8, 6]"
97,"[8, 6]"
98,"[8, 6]"
99,"[8, 6]"
100,"[8, 6]"
101,"[8, 2]"
102,[1]
103,[1]
104,[1]
105,[38]
106,"[11, 30]"
107,"[34, 11]"
108,"[34, 36]"
109,"[39, 36]"
110,[39]
111,"[40, 87]"
112,"[34, 11]"
113,[41]
114,"[40, 87]"
115,"[34, 11]"
116,"[42, 87]"
117,[39]
118,"[34, 11]"
119,[34]
120,"[34, 26]"
121,[41]
122,"[34, 11]"
123,[40]
124,"[34, 36]"
125,[43]
126,"[41, 63]"
127,[44]
128,[39]
129,[34]
130,"[40, 97]"
131,"[45, 58]"
132,"[45, 35]"
133,[34]
134,"[39, 6]"
135,"[46, 6]"
