item_id,knowledge_code
1,[42]
2,[77]
3,[42]
4,[79]
5,[48]
6,[20]
7,[89]
8,[260]
9,[41]
10,[79]
11,[169]
12,[21]
13,[79]
14,[203]
15,[79]
16,[50]
17,[89]
18,[79]
19,[214]
20,[273]
21,[473]
22,[34]
23,[384]
24,[185]
25,[64]
26,[76]
27,[13]
28,[305]
29,[188]
30,[104]
31,[273]
32,[107]
33,[136]
34,[89]
35,[13]
36,[69]
37,[74]
38,[374]
39,[90]
40,[79]
41,[15]
42,[74]
43,[55]
44,[57]
45,[79]
46,[8]
47,[193]
48,[150]
49,[68]
50,[90]
51,[277]
52,[359]
53,[386]
54,[44]
55,[248]
56,[40]
57,[40]
58,[304]
59,[121]
60,[25]
61,[466]
62,[234]
63,[68]
64,[227]
65,[104]
66,[389]
67,[401]
68,[45]
69,[142]
70,[140]
71,[277]
72,[269]
73,[196]
74,[44]
75,[72]
76,[9]
77,[107]
78,[423]
79,[198]
80,[228]
81,[120]
82,[396]
83,[44]
84,[21]
85,[161]
86,[13]
87,[268]
88,[55]
89,[121]
90,[142]
91,[152]
92,[79]
93,[165]
94,[97]
95,[4]
96,[246]
97,[142]
98,[326]
99,[140]
100,[127]
101,[375]
102,[116]
103,[284]
104,[206]
105,[103]
106,[108]
107,[228]
108,[131]
109,[233]
110,[98]
111,[79]
112,[378]
113,[197]
114,[78]
115,[179]
116,[241]
117,[297]
118,[39]
119,[65]
120,[9]
121,[13]
122,[465]
123,[50]
124,[133]
125,[142]
126,[107]
127,[144]
128,[327]
129,[277]
130,[45]
131,[79]
132,[42]
133,[293]
134,[44]
135,[9]
136,[193]
137,[104]
138,[44]
139,[152]
140,[399]
141,[293]
142,[117]
143,[4]
144,[93]
145,[401]
146,[211]
147,[206]
148,[79]
149,[34]
150,[79]
151,[466]
152,[457]
153,[369]
154,[96]
155,[177]
156,[79]
157,[246]
158,[283]
159,[153]
160,[193]
161,[13]
162,[217]
163,[171]
164,[152]
165,[175]
166,[98]
167,[78]
168,[104]
169,[410]
170,[148]
171,[274]
172,[303]
173,[52]
174,[75]
175,[45]
176,[13]
177,[150]
178,[45]
179,[42]
180,[21]
181,[457]
182,[392]
183,[457]
184,[153]
185,[92]
186,[96]
187,[107]
188,[44]
189,[273]
190,[381]
191,[148]
192,[262]
193,[239]
194,[213]
195,[197]
196,[98]
197,[48]
198,[100]
199,[234]
200,[214]
201,[108]
202,[89]
203,[359]
204,[41]
205,[74]
206,[290]
207,[291]
208,[107]
209,[146]
210,[93]
211,[412]
212,[299]
213,[27]
214,[352]
215,[45]
216,[403]
217,[50]
218,[384]
219,[214]
220,[331]
221,[104]
222,[132]
223,[10]
224,[13]
225,[1]
226,[105]
227,[9]
228,[34]
229,[47]
230,[42]
231,[161]
232,[104]
233,[456]
234,[193]
235,[148]
236,[148]
237,[165]
238,[105]
239,[457]
240,[167]
241,[52]
242,[64]
243,[160]
244,[381]
245,[84]
