item_id,knowledge_code
1,[177]
2,[1243]
3,[627]
4,"[1242, 1244]"
5,[1246]
6,[627]
7,[150]
8,[1244]
9,[501]
10,"[251, 1307]"
11,[1242]
12,[286]
13,"[1207, 2070]"
14,[1242]
15,"[843, 2030]"
16,[652]
17,[1244]
18,[843]
19,[715]
20,[287]
21,"[1207, 2070]"
22,[1639]
23,"[269, 927]"
24,[1247]
25,[1506]
26,[168]
27,[1246]
28,[283]
29,"[518, 1245]"
30,"[275, 522, 2009]"
31,[167]
32,[521]
33,[1255]
34,[518]
35,[1921]
36,[269]
37,"[283, 1178]"
38,[269]
39,[1244]
40,[1178]
41,[1267]
42,"[1591, 1809]"
43,[1591]
44,[1591]
45,"[1183, 1290, 1757, 2040]"
46,[1290]
47,[35]
48,[1290]
49,[351]
50,[1183]
51,[1635]
52,"[360, 1635]"
53,"[645, 667]"
54,"[946, 1572, 1919, 1972]"
55,"[645, 1572, 1972]"
56,[946]
57,"[41, 1919]"
58,[946]
59,"[1290, 1596, 1757]"
60,"[946, 1059, 1924]"
61,"[1192, 2012]"
62,"[1143, 1996, 2059]"
63,[1945]
64,[1056]
65,"[313, 642, 1445, 1567]"
66,[1928]
67,[1928]
68,[36]
69,"[351, 443, 480, 1123]"
70,[1924]
71,"[33, 1908]"
72,"[1076, 1909]"
73,[1909]
74,"[1060, 2048]"
75,[1060]
76,[2041]
77,"[16, 451, 667]"
78,[701]
79,[645]
80,[645]
81,"[750, 947]"
82,[1643]
83,[238]
84,"[754, 882]"
85,[1746]
86,[1184]
87,[1250]
88,"[98, 605]"
89,[109]
90,[165]
91,[1599]
92,[578]
93,[1811]
94,"[80, 209]"
95,[1667]
96,"[151, 465, 1811]"
97,[1811]
98,"[1388, 1811]"
99,"[1388, 1811]"
100,"[791, 1156, 1755, 1913]"
101,[504]
102,[391]
103,[1659]
104,[98]
105,[883]
106,"[528, 1194]"
107,[1659]
108,[692]
109,[1250]
110,[1998]
111,"[147, 1738]"
112,[1738]
113,[1250]
114,[1738]
115,[460]
116,[391]
117,[74]
118,[1528]
119,[1738]
120,[694]
121,"[1250, 1599]"
122,[221]
123,[391]
124,[1291]
125,[1153]
126,[605]
127,"[165, 698]"
128,"[165, 698]"
129,"[788, 1250, 1388]"
130,"[788, 1388]"
131,[1998]
132,"[352, 1250]"
133,[1998]
134,[9]
135,[9]
136,"[9, 939, 1117, 1146]"
137,"[9, 537]"
138,[9]
139,"[9, 1998]"
140,[161]
141,"[691, 1659]"
142,[2068]
143,"[692, 789, 1830]"
144,[913]
145,[74]
146,[697]
147,[496]
148,"[1948, 2057]"
149,[537]
150,"[1015, 1948]"
151,"[951, 1948]"
152,"[1159, 1264]"
153,[143]
154,[488]
155,"[257, 419]"
156,"[1311, 1777]"
157,[1659]
158,[1312]
159,"[537, 1950]"
160,"[1300, 1777]"
161,"[537, 1238]"
162,[1777]
163,[484]
164,[1951]
165,[1234]
166,[1777]
167,"[1564, 2067]"
168,[1385]
169,"[537, 1464]"
170,[1077]
171,[1077]
172,[1950]
173,"[248, 1077]"
174,[1790]
175,[776]
176,"[116, 1045, 1388, 1559, 1594]"
177,"[912, 1153]"
178,[305]
179,[913]
180,"[204, 930]"
181,[209]
182,[1201]
183,"[1045, 2065]"
184,"[936, 1117]"
185,[209]
186,[209]
187,[83]
188,"[496, 731]"
189,"[960, 1444]"
190,[1465]
191,[1998]
192,[1659]
193,[1117]
194,"[578, 1364]"
195,[1769]
196,[528]
197,[1238]
198,[207]
199,[537]
200,[1750]
201,[78]
202,[484]
203,[1173]
204,[1528]
205,[1917]
206,[1186]
207,[1173]
208,[1750]
209,[1645]
210,[1669]
211,[484]
212,[1896]
213,[1347]
214,[1739]
215,[1118]
216,[1118]
217,[1118]
218,"[471, 1291]"
219,[2031]
220,"[486, 1311, 1559]"
221,[1917]
222,"[604, 1311]"
223,"[149, 384, 604]"
224,[740]
225,"[1118, 2016]"
226,"[731, 1118, 1144]"
227,"[78, 157, 169, 465, 939, 1370]"
228,"[78, 147, 498, 1276, 1311]"
229,"[116, 1117]"
230,"[731, 1286, 1668, 2031]"
231,"[78, 465, 948, 1739]"
232,"[170, 885, 1045]"
233,[731]
234,[775]
235,"[465, 1385, 1388, 1998, 2031]"
236,[1816]
237,[1311]
238,[116]
239,"[116, 936]"
240,[116]
241,[1347]
242,"[98, 1117, 2068]"
243,[1659]
244,[1186]
245,"[148, 1186]"
246,[1553]
247,"[686, 1640]"
248,[1321]
249,[8]
250,"[20, 1938]"
251,"[13, 159]"
252,"[463, 1690]"
253,[542]
254,[1719]
255,[2007]
256,[26]
257,"[102, 542]"
258,[1587]
259,[24]
260,[1999]
261,"[542, 1428]"
262,[881]
263,[1554]
264,"[362, 1428]"
265,[1068]
266,[881]
267,"[1479, 1554]"
268,"[1479, 1554]"
269,"[1477, 1479]"
270,[1554]
271,[1066]
272,"[1067, 1069]"
273,[24]
274,[362]
275,[1940]
276,[1125]
277,[1188]
278,[1930]
279,[1759]
280,[1759]
281,[1397]
282,"[1068, 1759]"
283,[1397]
284,[1428]
285,"[349, 1759]"
286,"[1397, 1428]"
287,[1428]
288,"[1166, 1396, 1587]"
289,[1399]
290,[334]
291,[1941]
292,[1799]
293,"[1003, 1586]"
