item_id,knowledge_code
1,[294]
2,[79]
3,[79]
4,[392]
5,[294]
6,[13]
7,[294]
8,[13]
9,[13]
10,[294]
11,[13]
12,[31]
13,[31]
14,[31]
15,"[31, 392]"
16,[13]
17,[31]
18,[31]
19,[392]
20,[392]
21,[69]
22,[310]
23,[178]
24,[178]
25,[178]
26,[310]
27,[310]
28,[310]
29,[178]
30,[178]
31,[178]
32,[61]
33,[178]
34,[178]
35,[178]
36,[178]
37,[178]
38,[178]
39,[178]
40,[178]
41,[178]
42,[178]
43,[178]
44,[178]
45,[31]
46,[392]
47,[13]
48,[13]
49,[79]
50,[79]
51,[392]
52,[31]
53,[440]
54,[69]
55,[178]
56,[69]
57,[69]
58,[178]
59,[69]
60,[178]
61,[178]
62,[178]
63,[178]
64,[69]
65,[69]
66,[69]
67,[310]
68,[310]
69,[69]
70,[178]
71,[178]
72,[69]
73,[5]
74,[226]
75,[363]
76,[363]
77,[445]
78,[271]
79,[453]
80,[44]
81,[28]
82,[407]
83,[278]
84,[116]
85,[198]
86,[463]
87,[181]
88,[143]
89,[218]
90,[261]
91,[450]
92,[461]
93,[347]
94,[198]
95,[342]
96,[461]
97,[347]
98,[222]
99,[278]
100,[461]
101,[461]
102,[426]
103,[127]
104,[347]
105,[21]
106,[181]
107,[362]
108,[198]
109,[21]
110,[445]
111,[28]
112,[222]
113,[347]
114,[463]
115,[140]
116,[140]
117,[70]
118,[143]
119,[198]
120,[143]
121,[315]
122,[407]
123,[451]
124,[362]
125,[34]
126,[222]
127,[116]
128,[445]
129,[347]
130,[34]
131,[261]
132,[201]
133,[57]
134,[347]
135,[222]
136,[445]
137,[91]
138,[118]
139,[194]
140,[194]
141,[313]
142,"[469, 476]"
143,[313]
144,[168]
145,[361]
146,[361]
147,[91]
148,[172]
149,[172]
150,[172]
151,[400]
152,[9]
153,[268]
154,[301]
155,[361]
156,[361]
157,[18]
158,[172]
159,[455]
160,[455]
161,[444]
162,[118]
163,[179]
164,[200]
165,[429]
166,[286]
167,[429]
168,[286]
169,[429]
170,[200]
171,[200]
172,[429]
173,[429]
174,[200]
175,[286]
176,[429]
177,[429]
178,[286]
179,[429]
180,[429]
181,[253]
182,[429]
183,[286]
184,[429]
185,[429]
186,[429]
187,[429]
188,[200]
189,[200]
190,[286]
191,[200]
192,[286]
193,[200]
194,[200]
195,[429]
196,[286]
197,[200]
198,[286]
199,[286]
200,[286]
201,[286]
202,[429]
203,[200]
204,[200]
205,[286]
206,[286]
207,[429]
208,[429]
209,[286]
210,[200]
211,[253]
212,[429]
213,[429]
214,[286]
215,[429]
216,[429]
217,[200]
218,[429]
219,[253]
220,[429]
221,[286]
222,[253]
223,[286]
224,[429]
225,[429]
226,[253]
227,[286]
228,[429]
229,[166]
230,[408]
231,[445]
232,[44]
233,[353]
234,[436]
235,[92]
236,[80]
237,[396]
238,[381]
239,[445]
240,[127]
241,[92]
242,[408]
243,[166]
244,[320]
245,[448]
246,[448]
247,[408]
248,[80]
249,[396]
250,[381]
251,[320]
252,[408]
253,[92]
254,[166]
255,[436]
256,[396]
257,[448]
258,[390]
259,[313]
260,[313]
261,[42]
262,[383]
263,[313]
264,[401]
265,[239]
266,[239]
267,[167]
268,[33]
269,[33]
270,[444]
271,[444]
272,[444]
273,[313]
274,[15]
275,[282]
276,[469]
277,[15]
278,[397]
279,[423]
280,[270]
281,[282]
282,[118]
283,[437]
284,[344]
285,[399]
286,[476]
287,[423]
288,[282]
289,[423]
290,[469]
291,[118]
292,"[182, 423]"
293,[476]
294,[91]
295,[91]
296,[179]
297,[179]
298,[179]
299,[178]
300,[179]
301,[179]
302,[179]
303,[179]
304,[179]
305,[179]
306,[179]
307,[179]
308,[179]
309,[179]
310,[179]
311,[179]
312,[153]
313,[179]
314,[313]
315,[313]
316,[313]
317,[313]
318,[313]
319,[313]
320,[379]
321,[455]
322,[455]
323,[455]
324,[249]
325,[331]
326,[444]
327,[359]
328,[331]
329,[470]
330,[37]
331,[146]
332,[471]
333,[471]
334,[279]
335,[37]
336,[249]
337,[285]
338,[285]
339,[82]
340,[82]
341,[97]
342,[82]
343,[82]
344,[455]
345,[312]
346,[132]
347,[455]
348,[455]
349,[132]
350,[82]
351,[130]
352,[388]
353,[238]
354,[24]
355,[173]
356,[308]
357,[319]
358,[221]
359,[280]
360,[346]
361,[388]
362,[455]
363,[221]
364,[244]
365,[319]
366,[455]
367,[244]
368,[157]
369,[130]
370,[238]
371,[444]
372,[438]
373,[280]
374,[319]
375,[130]
376,[24]
377,[221]
378,[444]
379,[388]
380,[238]
381,[388]
382,[136]
383,[244]
384,[455]
385,[24]
386,[221]
387,[319]
388,[308]
389,[319]
390,[438]
391,[134]
392,[173]
393,[238]
394,[319]
395,[388]
396,[186]
397,[438]
398,[388]
399,[130]
400,[157]
401,[388]
402,[130]
403,[238]
404,[130]
405,[308]
406,[130]
407,[130]
408,[238]
409,[388]
410,[438]
411,[134]
412,[238]
413,[388]
414,[173]
415,[459]
416,[157]
417,[455]
418,[244]
419,[24]
420,[173]
421,[444]
422,[24]
423,[130]
424,[319]
425,[319]
426,[319]
427,[238]
428,[238]
429,[221]
430,[319]
431,[130]
432,[319]
433,[238]
434,[130]
435,[238]
436,[130]
437,[319]
438,[319]
439,[238]
440,[238]
441,[238]
442,[319]
443,[238]
444,[238]
445,[238]
446,[130]
447,[130]
448,[238]
449,[319]
450,[238]
451,[238]
452,[319]
453,[130]
454,[319]
455,[319]
456,[238]
457,[319]
458,[130]
459,[130]
460,[238]
461,[130]
462,[238]
463,[319]
464,[238]
465,[130]
466,[238]
467,[238]
468,[238]
469,[319]
470,[130]
471,[319]
472,[130]
473,[319]
474,[319]
475,[130]
476,[319]
477,[319]
478,[238]
479,[319]
480,[130]
481,[130]
482,[130]
483,[130]
484,[319]
485,[238]
486,[238]
487,[319]
488,[238]
489,[130]
490,[238]
491,[319]
492,[238]
493,[319]
494,[238]
495,[319]
496,[130]
497,[238]
498,[319]
499,[130]
500,[319]
501,[319]
502,[130]
