item_id,knowledge_code
1,[1]
2,"[2, 3]"
3,[4]
4,[4]
5,[5]
6,[4]
7,[3]
8,[6]
9,[7]
10,[7]
11,[8]
12,[9]
13,[10]
14,[11]
15,[8]
16,[7]
17,[12]
18,[8]
19,[11]
20,[11]
21,[13]
22,[11]
23,[14]
24,"[15, 16]"
25,[11]
26,[11]
27,[17]
28,"[12, 18]"
29,[19]
30,[20]
31,[21]
32,[20]
33,[22]
34,[23]
35,[21]
36,[24]
37,[25]
38,[25]
39,[26]
40,[24]
41,[24]
42,[25]
43,[27]
44,[25]
45,[19]
46,[25]
47,[28]
48,[11]
49,[29]
50,[23]
51,[30]
52,[25]
53,[21]
54,[14]
55,[31]
56,[32]
57,[33]
58,[34]
59,[35]
60,[36]
61,[34]
62,"[35, 37]"
63,[38]
64,[39]
65,[34]
66,[40]
67,[41]
68,[42]
69,[43]
70,[44]
71,[45]
72,"[46, 47]"
73,[48]
74,[49]
75,"[50, 51]"
76,[52]
77,[53]
78,[54]
79,[55]
80,[56]
81,[57]
82,[58]
83,[56]
84,[59]
85,[59]
86,[57]
87,[57]
88,[57]
89,[57]
90,[60]
91,[57]
92,[61]
93,[62]
94,[57]
95,[63]
96,[64]
97,[59]
98,[57]
99,[65]
100,[66]
101,[66]
102,[66]
103,[3]
104,[62]
105,"[11, 12, 67]"
106,[19]
107,[68]
108,[69]
109,[34]
110,[33]
111,[39]
112,[70]
113,[19]
114,[54]
115,[21]
116,[65]
117,[66]
118,[71]
119,[66]
120,[66]
121,[55]
122,"[72, 73]"
123,[66]
124,[63]
125,[65]
126,[74]
127,[75]
128,[76]
129,[77]
130,[78]
131,[79]
132,[80]
133,[81]
134,[82]
135,[80]
136,[81]
137,[82]
138,[81]
139,[82]
140,[79]
141,[79]
142,[83]
143,[84]
144,[85]
145,[79]
146,[79]
147,[79]
148,[83]
149,[86]
150,[86]
151,[87]
152,[87]
153,[88]
154,[87]
155,[87]
156,[86]
157,"[89, 90]"
158,[91]
159,[89]
160,[92]
161,"[93, 94]"
162,[95]
163,[96]
164,"[65, 97]"
165,[98]
166,"[93, 99]"
167,[89]
168,[100]
169,[65]
170,[101]
171,[101]
172,[102]
173,"[74, 103, 104]"
174,"[74, 103]"
175,[105]
176,[101]
177,"[65, 97, 106]"
178,[107]
179,[106]
180,[100]
181,[108]
182,[109]
183,[110]
184,[110]
185,[107]
186,[107]
187,[111]
188,[112]
189,[113]
190,[114]
191,"[115, 116]"
192,[115]
193,[117]
194,[115]
195,[109]
196,[115]
197,[113]
198,[107]
199,[118]
200,"[114, 115]"
201,[107]
202,[113]
203,[115]
204,[119]
205,[113]
206,[115]
207,[113]
208,[119]
209,[113]
210,[120]
211,[113]
212,[119]
213,[113]
214,[121]
215,[122]
216,[123]
217,[124]
218,[121]
219,[122]
220,[124]
221,[125]
222,[126]
223,[124]
224,[107]
225,[107]
226,[107]
227,[127]
228,"[124, 125]"
229,[121]
230,[124]
231,[65]
232,[128]
233,[129]
234,[105]
235,"[101, 130]"
236,[102]
237,[105]
238,[131]
239,[100]
240,[132]
241,[132]
242,[132]
243,[132]
244,[132]
245,[132]
246,[133]
247,[134]
248,[135]
249,[136]
250,[137]
251,[132]
252,[138]
253,[134]
254,"[102, 137]"
255,[102]
256,[132]
257,[138]
258,[100]
259,[132]
260,[138]
261,[139]
262,[139]
263,[139]
264,[140]
265,[10]
266,[141]
267,[10]
268,[142]
269,[140]
270,[143]
271,[144]
272,[145]
273,[146]
274,[147]
275,[120]
276,[31]
277,[66]
278,[63]
279,[148]
280,[149]
281,[63]
282,[150]
283,[151]
284,[149]
285,[152]
286,[153]
287,[154]
288,[155]
289,[47]
290,[52]
291,[55]
292,[56]
293,[156]
294,[156]
295,[56]
296,[157]
297,[158]
298,[56]
299,[56]
300,[158]
301,[56]
302,[56]
303,[159]
304,[56]
305,[56]
306,[160]
307,[107]
308,[56]
309,[161]
310,[110]
311,[109]
312,[35]
313,[35]
314,[110]
315,[35]
316,[162]
317,[25]
318,[163]
319,[164]
320,[163]
321,[37]
322,[35]
323,[165]
324,[165]
325,[165]
326,"[19, 166]"
327,"[19, 140]"
328,[167]
329,[167]
330,[168]
331,[19]
332,[19]
333,[169]
334,[167]
335,[167]
336,[169]
337,"[167, 170, 171]"
338,[172]
339,[173]
340,[173]
341,[174]
342,[175]
343,"[175, 176]"
344,[177]
345,"[170, 178, 179, 180]"
346,"[178, 181]"
347,[58]
348,[182]
349,[183]
350,[58]
351,[184]
352,[185]
353,[184]
354,[180]
355,[184]
356,[186]
357,[184]
358,[78]
359,[187]
360,[77]
361,[77]
362,[78]
363,[77]
364,[188]
365,[189]
366,[82]
367,[82]
368,[79]
369,[79]
370,[59]
371,[79]
372,[79]
373,[79]
374,[57]
375,[57]
376,[57]
377,[190]
378,[64]
379,[57]
380,[57]
381,[191]
382,"[192, 193]"
383,[194]
384,[195]
385,[196]
386,[197]
387,[198]
388,[199]
389,[200]
390,[199]
391,[193]
392,[199]
393,[44]
394,[42]
395,[42]
396,[42]
397,[45]
398,[201]
399,[42]
400,[202]
401,[44]
402,[203]
403,[204]
404,[205]
405,"[205, 206]"
406,[205]
407,[139]
408,[207]
409,[208]
410,[207]
411,[207]
412,[139]
413,[139]
414,[139]
415,[209]
416,[210]
417,[139]
418,[209]
419,"[211, 212]"
420,[209]
421,[213]
422,[209]
423,[214]
424,[215]
425,[215]
426,[214]
427,"[215, 216]"
428,[217]
429,[215]
430,"[214, 218]"
431,[215]
432,[215]
433,[215]
434,[214]
435,[215]
436,"[214, 219]"
437,[215]
438,[220]
439,[25]
440,[25]
441,[221]
442,[222]
443,[141]
444,[223]
445,[3]
446,[224]
447,[225]
448,[19]
449,[226]
450,[227]
451,"[89, 228]"
452,[139]
453,[188]
454,[229]
455,[229]
456,[215]
457,[217]
458,[217]
459,[214]
460,[156]
461,"[6, 156]"
462,[230]
463,[231]
464,[232]
465,[233]
466,[146]
467,[233]
468,"[234, 235, 236]"
469,"[234, 235, 236]"
470,"[234, 235, 236]"
471,[35]
472,[35]
473,[35]
474,[237]
475,[237]
476,[237]
477,[237]
478,[238]
479,[238]
480,[237]
481,[25]
482,[171]
483,[239]
484,[169]
485,[173]
486,[201]
487,[201]
488,[240]
489,[241]
490,[241]
491,[201]
492,[45]
493,[242]
494,[41]
495,[42]
496,[42]
497,[42]
498,[209]
499,[209]
500,[209]
501,[243]
502,[244]
503,[244]
504,[244]
505,[245]
506,[4]
507,"[2, 3]"
508,[246]
509,[247]
510,[7]
511,[7]
512,[142]
513,[141]
514,[10]
515,[248]
516,[17]
517,[29]
518,[29]
519,[16]
520,[19]
521,[19]
522,[19]
523,"[17, 19]"
524,[17]
525,[19]
526,[7]
527,[122]
528,[122]
529,[35]
530,[122]
531,[35]
532,[122]
533,[35]
534,[249]
535,[163]
536,[163]
537,[163]
538,[39]
539,[39]
540,[250]
541,[250]
542,[251]
543,[37]
544,[251]
545,[251]
546,[163]
547,[252]
548,[36]
549,[34]
550,[253]
551,[253]
552,[34]
553,[34]
554,[33]
555,[33]
556,[33]
557,[38]
558,[38]
559,[38]
560,[254]
561,[34]
562,[74]
563,[33]
564,[33]
565,[38]
566,[36]
567,[34]
568,[255]
569,[256]
570,[257]
571,[69]
572,[257]
573,[40]
574,[69]
575,[69]
576,[258]
577,[258]
578,[258]
579,"[259, 260]"
580,[258]
581,[258]
582,[258]
583,[259]
584,[258]
585,[259]
586,[258]
587,[259]
588,[258]
589,[258]
590,[258]
591,[258]
592,[258]
593,[258]
594,[261]
595,[262]
596,[262]
597,[262]
598,"[261, 262]"
599,"[263, 264]"
600,"[263, 264]"
601,"[263, 264]"
602,"[263, 264]"
603,[264]
604,[264]
605,[265]
606,[265]
607,[264]
608,[266]
609,[169]
610,"[74, 103, 169]"
611,"[267, 268]"
612,[269]
613,[180]
614,[167]
615,[175]
616,[270]
617,[175]
618,[267]
619,[171]
620,[59]
621,[57]
622,[64]
623,"[57, 61]"
624,[60]
625,[271]
626,[60]
627,[56]
628,[56]
629,[56]
630,[158]
631,[158]
632,[158]
633,[70]
634,[70]
635,[70]
636,[272]
637,[272]
638,[272]
639,[58]
640,[58]
641,"[74, 209]"
642,[209]
643,[212]
644,"[103, 118]"
645,[209]
646,"[103, 209]"
647,"[65, 103]"
648,"[65, 103]"
649,"[65, 103]"
650,"[65, 103]"
651,"[65, 103]"
652,[148]
653,[273]
654,"[148, 273]"
655,[66]
656,[66]
657,[66]
658,[66]
659,[63]
660,[274]
661,[66]
662,[275]
663,[81]
664,[276]
665,[80]
666,[276]
667,[82]
668,[81]
669,[277]
670,[80]
671,[79]
672,[79]
673,[83]
674,[79]
675,[83]
676,[83]
677,[83]
678,[105]
679,[105]
680,[105]
681,[105]
682,[105]
683,[105]
684,[105]
685,[102]
686,[102]
687,[278]
688,[278]
689,"[105, 279]"
690,"[278, 280]"
691,[105]
692,[278]
693,[281]
694,[102]
695,[105]
696,[280]
697,[93]
698,[93]
699,[282]
700,[100]
701,[108]
702,[100]
703,[108]
704,[108]
705,[100]
706,[283]
707,[100]
708,[105]
709,[281]
710,"[100, 105]"
711,[108]
712,[101]
713,[107]
714,[107]
715,[109]
716,[107]
717,[117]
718,[284]
719,[115]
720,[119]
721,[113]
722,[285]
723,[121]
724,[285]
725,[25]
726,[25]
727,[163]
728,[123]
729,[163]
730,"[238, 286, 287]"
731,[286]
732,"[238, 287]"
733,"[238, 286]"
734,[288]
735,[124]
736,[289]
737,"[124, 125]"
738,"[124, 125]"
739,"[124, 125]"
740,"[124, 125]"
741,"[124, 125]"
